subject	screen_resolution	total_time	image_load	age	gender-categorical	gender-free-response	ethnicity	race	education	free-response
35i1vwqxvv43ark5es4ehs0y	[864, 1536]	467.49	True	24	Male		Rather not say	['Black or African American']	High school	
36ciucfggtq1z713v9xkdrx3	[900, 1440]	317.604	True	21	Female		Not Hispanic or Latino	['White']	Some college	
36l82j6bd9lgeu8wfmkb0016	[864, 1536]	445.788	True	29	Female		Hispanic or Latino	['White']	Bachelor degree	
374y9fwt2b00n99yi3ofx4qb	[1080, 1920]	266.4	True	23	Female		Not Hispanic or Latino	['White']	Bachelor degree	
38gc7m7j436bn7g55tjbetol	[1080, 1920]	398.722	True	22	Male		Not Hispanic or Latino	['Asian']	Bachelor degree	
38l1r4kavdxjg6x4pfakebax	[1080, 1920]	482.66	True	19	Male		Not Hispanic or Latino	['White']	Some college	
39i7gcci8k1p1p0swddsw7qi	[900, 1440]	433.945	True	20	Female		Not Hispanic or Latino	['White']	Some college	
3abvws8gbp1d26tmli4e6a4t	[768, 1366]	363.948	True	20	Female		Not Hispanic or Latino	['White']	Some college	
3d6pbwa1zfcugi7u7ezyy7dz	[665, 1696]	431.613	True	39	Male		Not Hispanic or Latino	['White']	Master degree or higher	
3fw2biverenq54kvxw6ukt0w	[1024, 1280]	377.727	True	42	Male		Not Hispanic or Latino	['White']	Master degree or higher	thanks
3gpbpajj50bkq4byeiwitb1x	[1050, 1680]	361.608	True	28	Male		Rather not say	['Black or African American']	Master degree or higher	
3hrldrezqnbmcz7wsfqpk444	[900, 1440]	465.796	True	26	Female		Not Hispanic or Latino	['White']	Associate degree	
3hwti9vqo403bsbc57oj78ez	[900, 1440]	422.003	True	30	Male		Not Hispanic or Latino	['White']	Bachelor degree	
3i0fcuh5zsys7h2z3qwc09zz	[683, 1708]	428.132	True	40	Male		Not Hispanic or Latino	['White']	Master degree or higher	
3i5irx9r0mj1u7jsd4eal9gx	[900, 1440]	312.909	True	20	Female		Not Hispanic or Latino	['White']	Some college	
3jtndyzy8ppzx9n84mnkkmb6	[900, 1440]	327.614	True	20	Female		Not Hispanic or Latino	['White']	High school	
3lbs4rayaxcbl7hqxk7spw6s	[1080, 1920]	247.356	True	25	Female		Not Hispanic or Latino	['American Indian/Alaska Native']	High school	
3lq84wvebjvq8vnshc6dw7b2	[768, 1366]	162.504	True	43	Male		Not Hispanic or Latino	['White']	Bachelor degree	Thank you
3lrrzv95areb6jw94zk2btuh	[1003, 1504]	384.998	True	28	Female		Not Hispanic or Latino	['White']	Master degree or higher	
3mlg5gieakg52hh4kb0xgrbx	[1120, 1792]	380.386	True	21	Female		Not Hispanic or Latino	['White']	Bachelor degree	
3n1cbejah1sclcumx3ccvk06	[864, 1536]	386.656	True	23	Female		Not Hispanic or Latino	['Asian']	Bachelor degree	
3op34p5re2dqxm85smzsl7o7	[1152, 2048]	425.632	True	31	Female		Not Hispanic or Latino	['White']	Bachelor degree	
3pkivj67s83yvgkzbz3leqiu	[768, 1366]	217.181	True	70	Male		Not Hispanic or Latino	['Black or African American']	Master degree or higher	
3r2ifq00z06hun105tincwcm	[1050, 1680]	285.235	True	26	Female		Not Hispanic or Latino	['White']	Bachelor degree	
3ryh9gpnd9mp6935pdj9x6u7	[900, 1440]	379.282	True	18	Female		Hispanic or Latino	['White']	High school	
3sf7bhi9na56hcqeqo68gpgl	[900, 1440]	340.957	True	19	Female		Not Hispanic or Latino	['Asian']	Some college	
3t1v08knv3uwj30xgvf8bx7x	[900, 1440]	356.936	True	18	Male		Not Hispanic or Latino	['White']	High school	
3t6pf65p8uds0ezkf75oqbwa	[900, 1440]	371.63	True	22	Male		Not Hispanic or Latino	['Asian']	Bachelor degree	
3ug2aieyp7m249hmnn0idzmy	[1867, 980]	315.198	True	25	Male		Not Hispanic or Latino	['Black or African American']	Master degree or higher	No comments 
3vhzz2zw6zgab84amn4bogng	[960, 1707]	287.564	True	20	Male		Not Hispanic or Latino	['White']	Some college	
3vzktzr6yhj4ga7b3vtneqb9	[864, 1536]	302.372	True	18	Female		Not Hispanic or Latino	['White']	Some college	
3wehmk3zblbnj7r0lq8kv3iy	[864, 1536]	336.48	True	22	Male		Not Hispanic or Latino	['White']	Some college	
3ye95yp5z8qh7x1ovbgo3ich	[800, 1280]	375.243	True	23	Female		Hispanic or Latino	['White']	Bachelor degree	
