subject,trial,item,dimension,test_form,shape_set,distractor,choice,accuracy,y_hat,y_pred,pwaic_u,pwaic_c,louo,loco,k_u,k_c
d4j3n6s052ilouwmwlt5ddgm,16,30,7,2,1,0,0.0,1.0,0.8378,0.8419108072888468,0.010721121399584909,0.1450349528056576,-0.18282502851554128,-5.465132979803874,0.04699177853067861,0.13255429937909702
d58i8ccvptnsejzpxl9qlmz9,1,39,2,1,2,1,2.0,0.0,0.2033,0.796569591219514,0.01691791902797219,0.25645965347356825,-0.2444421063467015,-5.452275805615912,0.16063409467512707,0.26640180564906224
d58i8ccvptnsejzpxl9qlmz9,2,19,2,2,2,0,2.0,0.0,0.2285,0.7603047398221074,0.023077327388664838,0.25645965347356825,-0.2972499558227639,-5.452275805615912,0.18453261735212645,0.26640180564906224
d58i8ccvptnsejzpxl9qlmz9,3,70,2,1,3,1,1.0,0.0,0.6644,0.32934030676725295,0.18951933118175765,0.25645965347356825,-1.3007923797239442,-5.452275805615912,0.11324459775166354,0.26640180564906224
d58i8ccvptnsejzpxl9qlmz9,5,18,3,2,1,0,2.0,0.0,0.0891,0.912257396632918,0.003288403265923233,0.25645965347356825,-0.09512705001022326,-5.452275805615912,0.09564170925050826,0.26640180564906224
d58i8ccvptnsejzpxl9qlmz9,6,31,3,1,3,1,0.0,1.0,0.3597,0.36117061492151836,0.15907246825007662,0.25645965347356825,-1.178970592672334,-5.452275805615912,0.2599249845144798,0.26640180564906224
d58i8ccvptnsejzpxl9qlmz9,7,69,3,2,1,0,2.0,0.0,0.3731,0.6185770776465597,0.05724883374359734,0.25645965347356825,-0.5379987821960963,-5.452275805615912,0.1072591173832241,0.26640180564906224
d58i8ccvptnsejzpxl9qlmz9,8,16,4,1,3,1,0.0,1.0,0.589,0.593909407443342,0.07024306088038273,0.25645965347356825,-0.591944318555246,-5.452275805615912,0.233861196456213,0.26640180564906224
d58i8ccvptnsejzpxl9qlmz9,9,72,4,1,2,1,3.0,0.0,0.2605,0.7459065228329644,0.025768163511558362,0.25645965347356825,-0.3190479348720583,-5.452275805615912,0.11674573468933595,0.26640180564906224
d58i8ccvptnsejzpxl9qlmz9,10,42,4,2,1,0,1.0,0.0,0.2296,0.7653257111220324,0.022221282013944476,0.25645965347356825,-0.28979922935656255,-5.452275805615912,0.2152032916875523,0.26640180564906224
d58i8ccvptnsejzpxl9qlmz9,11,59,5,1,1,1,1.0,0.0,0.1243,0.8728404271617525,0.006440529962380197,0.25645965347356825,-0.14246048414374357,-5.452275805615912,0.21157924364097996,0.26640180564906224
d58i8ccvptnsejzpxl9qlmz9,12,80,4,2,3,0,3.0,0.0,0.0851,0.9151077461312805,0.002981532556886436,0.25645965347356825,-0.0916996108642607,-5.452275805615912,0.15287103309431804,0.26640180564906224
d58i8ccvptnsejzpxl9qlmz9,13,54,6,1,2,1,1.0,0.0,0.1058,0.8949592408495799,0.004573357210870003,0.25645965347356825,-0.11556016532758129,-5.452275805615912,0.06978207673868093,0.26640180564906224
d58i8ccvptnsejzpxl9qlmz9,14,36,6,2,1,0,3.0,0.0,0.1543,0.8460229248719506,0.009447510214178396,0.25645965347356825,-0.17668799275911162,-5.452275805615912,0.16644328702375594,0.26640180564906224
d58i8ccvptnsejzpxl9qlmz9,15,29,7,2,3,0,3.0,0.0,0.1703,0.8341984528144916,0.010948783456768418,0.25645965347356825,-0.1922676104901928,-5.452275805615912,0.05363595076534981,0.26640180564906224
d58i8ccvptnsejzpxl9qlmz9,16,35,8,1,1,1,3.0,0.0,0.2689,0.7333520729420777,0.0263667022894149,0.25645965347356825,-0.3366003706925902,-5.452275805615912,0.0022836754490404634,0.26640180564906224
da4u1lurop994sw2o274ktx0,1,28,2,1,3,0,1.0,0.0,0.5387,0.4603410689042801,0.09538772647791573,0.310610362075741,-0.8717700252594387,-12.79896233413977,0.07807114218854175,0.24503856816795083
da4u1lurop994sw2o274ktx0,2,20,2,2,3,1,1.0,0.0,0.7552,0.23894856137065554,0.1949020533125755,0.310610362075741,-1.6279827759375696,-12.79896233413977,0.19857777250278769,0.24503856816795083
da4u1lurop994sw2o274ktx0,3,50,2,2,3,1,0.0,1.0,0.7857,0.7850568898680534,0.01629678685674505,0.310610362075741,-0.2583631771674799,-12.79896233413977,0.24514553243173998,0.24503856816795083
da4u1lurop994sw2o274ktx0,5,11,3,2,3,0,0.0,1.0,0.3545,0.35833618178453386,0.1259278893081165,0.310610362075741,-1.152582423349676,-12.79896233413977,0.1251377250535946,0.24503856816795083
da4u1lurop994sw2o274ktx0,6,31,3,1,3,1,2.0,0.0,0.7126,0.28128891896720687,0.16180841679371197,0.310610362075741,-1.430947624614264,-12.79896233413977,0.19913675357269617,0.24503856816795083
da4u1lurop994sw2o274ktx0,7,16,4,1,3,1,0.0,1.0,0.8707,0.8714161469386836,0.006163002728288163,0.310610362075741,-0.14381150742756255,-12.79896233413977,0.11556773210520822,0.24503856816795083
da4u1lurop994sw2o274ktx0,8,62,3,2,3,0,0.0,1.0,0.8948,0.8951455508175602,0.004896708025523104,0.310610362075741,-0.11567639618030867,-12.79896233413977,0.09254358027692516,0.24503856816795083
