subject,age,gender,block,trial,testform,item,dimension,distractor,puzzle,accuracy,rt
686907,22,Male,2,23,1,29,7,minimal,29_grid_double__10121011111012010000102012020000_shape_set_17_T.jpeg,1,18.893
686907,22,Male,2,24,1,30,7,paired,30_grid_double__10211001101112200100121012020000_shape_set_20_T.jpeg,1,10.275
686907,22,Male,2,25,1,31,3,paired,31_flower_double__0200010011120100020012110000000002001102_shape_set_4_T.jpeg,0,28.54
686907,22,Male,2,26,1,33,1,paired,33_single__000010221212_shape_set_20_T.jpeg,0,5.404
686907,22,Male,2,27,1,15,3,minimal,15_double__0000110211121011_shape_set_20_T.jpeg,0,25.635
686907,22,Male,2,28,1,32,1,minimal,32_flower_single__11110100010002000000_shape_set_17_T.jpeg,1,8.541
686907,22,Male,2,29,1,1,2,paired,1_single__101010001010_shape_set_4_T.jpeg,1,1.618
686907,22,Male,2,30,1,14,5,minimal,14_triple__112110100000000010021222_shape_set_17_T.jpeg,1,23.327
686907,22,Male,2,31,1,13,3,paired,13_flower_single__01001221122102001122_shape_set_4_T.jpeg,0,11.611
686907,22,Male,2,32,1,28,2,paired,28_flower_double__0000122201000100000011220000020001000100_shape_set_4_T.jpeg,0,14.718
686907,22,Male,2,33,1,35,8,minimal,35_grid_triple__122112021120000000001010010001001022110101000100_shape_set_17_T.jpeg,0,9.168
686907,22,Male,2,34,1,27,3,paired,27_double__1020020012121122_shape_set_20_T.jpeg,1,15.23
686907,22,Male,2,35,1,26,5,paired,26_grid_triple__000000000000112102000100020000000200000011221121_shape_set_17_T.jpeg,1,19.138
686907,22,Male,2,36,1,36,6,paired,36_triple__111212011010112010220100_shape_set_20_T.jpeg,1,18.014
686995,26,Female,2,1,2,64,6,paired,64_grid_triple__000001001110020000000000112002001212010001001122_shape_set_20_T.jpeg,0,0.584
686995,26,Female,2,2,2,37,3,minimal,37_flower_double__0200010001000200020002001211110111120100_shape_set_20_T.jpeg,0,0.406
686995,26,Female,2,3,2,8,1,minimal,8_grid_single__0100000000001111_shape_set_4_T.jpeg,0,6.885
686995,26,Female,2,4,2,13,3,minimal,13_flower_single__01001221122102001122_shape_set_20_T.jpeg,0,10.814
686995,26,Female,2,5,2,63,5,paired,63_triple__120211111021020000001010_shape_set_17_T.jpeg,1,0.716
