name	Mean	MCSE	StdDev	5%	50%	95%	N_Eff	N_Eff/s	R_hat
beta[28]	-0.84	0.0083	0.37	-1.4	-0.87	-0.19	1971.0	2.2	1.0
beta[29]	-0.45	0.0057	0.29	-0.91	-0.46	0.026	2668.0	3.0	1.0
beta[30]	-1.2	0.016	0.59	-2.0	-1.2	-0.014	1366.0	1.5	1.0
beta[31]	-0.27	0.0052	0.27	-0.7	-0.27	0.16	2641.0	3.0	1.0
beta[32]	-0.78	0.0061	0.31	-1.3	-0.78	-0.27	2577.0	2.9	1.0
beta[33]	-0.54	0.0071	0.37	-1.1	-0.56	0.11	2732.0	3.1	1.0
beta[34]	0.47	0.0054	0.33	-0.021	0.45	1.0	3636.0	4.1	1.0
beta[35]	0.0098	0.0055	0.31	-0.47	-0.007	0.53	3197.0	3.6	1.0
beta[36]	0.71	0.016	0.58	-0.055	0.63	1.8	1251.0	1.4	1.0
beta[37]	-0.075	0.0061	0.35	-0.59	-0.1	0.55	3307.0	3.7	1.0
beta[38]	-1.6	0.021	0.64	-2.5	-1.7	-0.35	940.0	1.1	1.0
beta[39]	-0.48	0.0079	0.41	-1.1	-0.51	0.23	2705.0	3.0	1.0
beta[40]	-0.21	0.0066	0.34	-0.73	-0.23	0.38	2761.0	3.1	1.0
alpha[1]	0.99	0.0081	0.28	0.6	0.96	1.5	1217.0	1.4	1.0
alpha[2]	1.1	0.0079	0.33	0.64	1.0	1.6	1689.0	1.9	1.0
alpha[3]	1.1	0.0069	0.3	0.66	1.0	1.6	1948.0	2.2	1.0
alpha[4]	1.1	0.011	0.4	0.58	1.0	1.8	1309.0	1.5	1.0
alpha[5]	1.0	0.0096	0.33	0.61	1.0	1.6	1185.0	1.3	1.0
alpha[6]	0.91	0.0059	0.2	0.58	0.91	1.2	1174.0	1.3	1.0
alpha[7]	1.1	0.0089	0.32	0.65	1.0	1.6	1333.0	1.5	1.0
alpha[8]	1.1	0.0052	0.25	0.81	1.1	1.6	2402.0	2.7	1.0
alpha[9]	1.0	0.0079	0.27	0.6	0.97	1.5	1165.0	1.3	1.0
alpha[10]	0.97	0.0039	0.18	0.68	0.96	1.3	2145.0	2.4	1.0
alpha[11]	0.88	0.0065	0.22	0.54	0.88	1.2	1135.0	1.3	1.0
alpha[12]	0.93	0.0041	0.19	0.63	0.92	1.2	2094.0	2.3	1.0
alpha[13]	0.99	0.0041	0.2	0.7	0.98	1.3	2290.0	2.6	1.0
alpha[14]	0.91	0.0047	0.2	0.6	0.9	1.2	1764.0	2.0	1.0
alpha[15]	0.98	0.0038	0.19	0.68	0.97	1.3	2552.0	2.9	1.0
alpha[16]	0.91	0.0065	0.23	0.55	0.91	1.3	1207.0	1.4	1.0
alpha[17]	0.91	0.0052	0.2	0.58	0.91	1.2	1427.0	1.6	1.0
alpha[18]	0.84	0.0058	0.2	0.51	0.84	1.2	1185.0	1.3	1.0
alpha[19]	0.97	0.0051	0.2	0.67	0.96	1.3	1562.0	1.8	1.0
alpha[20]	1.1	0.0042	0.21	0.76	1.0	1.4	2426.0	2.7	1.0
alpha[21]	0.84	0.0065	0.21	0.5	0.84	1.2	1040.0	1.2	1.0
alpha[22]	1.1	0.005	0.24	0.79	1.1	1.6	2327.0	2.6	1.0
alpha[23]	0.99	0.0037	0.18	0.71	0.98	1.3	2466.0	2.8	1.0
alpha[24]	1.1	0.0056	0.27	0.73	1.0	1.5	2308.0	2.6	1.0
alpha[25]	1.0	0.0059	0.24	0.68	1.0	1.4	1608.0	1.8	1.0
alpha[26]	1.0	0.0049	0.22	0.74	1.0	1.4	2006.0	2.2	1.0
alpha[27]	0.96	0.0042	0.19	0.66	0.95	1.3	1940.0	2.2	1.0
alpha[28]	1.1	0.0047	0.22	0.78	1.1	1.5	2238.0	2.5	1.0
alpha[29]	1.1	0.0047	0.22	0.79	1.1	1.5	2235.0	2.5	1.0
alpha[30]	1.1	0.0053	0.24	0.78	1.1	1.6	2083.0	2.3	1.0
alpha[31]	1.1	0.0048	0.24	0.79	1.1	1.5	2436.0	2.7	1.0
alpha[32]	1.2	0.0068	0.29	0.84	1.1	1.8	1856.0	2.1	1.0
alpha[33]	0.98	0.004	0.18	0.68	0.97	1.3	2046.0	2.3	1.0
