subject	trial	dimension	stimulus	accuracy	Y_hat	Y_pred	WAIC
4zcrmlklswop6kcqvyc11gdc	5	4	16	1.0	0.8445	0.8535319518712196	-0.20776145704226257
4zcrmlklswop6kcqvyc11gdc	6	4	17	0.0	0.499	0.49718387869345565	-0.772312229803539
4zcrmlklswop6kcqvyc11gdc	7	5	52	0.0	0.3685	0.6411552561599927	-0.4650384560312441
4zcrmlklswop6kcqvyc11gdc	8	5	59	0.0	0.27325	0.7131743641581012	-0.34243826883732587
58unjwdq1szxwtav4c281qfc	1	2	19	1.0	0.6825	0.6918682888458643	-0.4172298153775323
58unjwdq1szxwtav4c281qfc	2	2	20	0.0	0.687	0.3122875174664827	-1.5506892528514897
58unjwdq1szxwtav4c281qfc	3	3	15	0.0	0.466	0.535465267149586	-0.6791094942311607
58unjwdq1szxwtav4c281qfc	4	3	10	1.0	0.53075	0.5382290464211581	-0.7053097265396141
58unjwdq1szxwtav4c281qfc	5	4	12	0.0	0.36675	0.6240826250806121	-0.4960758263670232
58unjwdq1szxwtav4c281qfc	6	4	23	1.0	0.7895	0.7924347690321644	-0.2936044554936846
58unjwdq1szxwtav4c281qfc	7	5	14	0.0	0.38275	0.6298752697590301	-0.4935949311183045
58unjwdq1szxwtav4c281qfc	8	5	26	1.0	0.4975	0.48816745133376105	-0.7870029680382102
5ad0fxo4nksxnoxek6jnwpqh	1	2	19	1.0	0.69475	0.6932222727204268	-0.4152899145717409
5ad0fxo4nksxnoxek6jnwpqh	2	2	20	0.0	0.6855	0.31292119070747776	-1.5520692831033942
5ad0fxo4nksxnoxek6jnwpqh	3	3	11	0.0	0.54925	0.4701129878738197	-0.9170048162629897
5ad0fxo4nksxnoxek6jnwpqh	4	3	18	1.0	0.61575	0.6108550829552146	-0.543544214559421
5ad0fxo4nksxnoxek6jnwpqh	5	4	16	1.0	0.8375	0.8426667829280764	-0.22450192846490005
5ad0fxo4nksxnoxek6jnwpqh	6	4	17	0.0	0.49325	0.5057788595274428	-0.7464631013971038
5ad0fxo4nksxnoxek6jnwpqh	7	5	14	1.0	0.38525	0.3747979354485374	-1.0443375201928644
5ad0fxo4nksxnoxek6jnwpqh	8	5	26	1.0	0.497	0.48902585062844595	-0.7882662206722979
5b8sbhwigddofjapft20c4tv	1	2	1	1.0	0.99325	0.99303804499585	-0.00735858261159357
5b8sbhwigddofjapft20c4tv	2	2	6	1.0	0.837	0.8359176817812731	-0.1968432783499121
5b8sbhwigddofjapft20c4tv	3	3	11	1.0	0.76075	0.762567874953108	-0.32413037262208544
5b8sbhwigddofjapft20c4tv	4	3	18	1.0	0.78	0.7778162215272193	-0.2801792747902515
5b8sbhwigddofjapft20c4tv	5	4	12	1.0	0.528	0.5392414284660688	-0.7019193165504628
5b8sbhwigddofjapft20c4tv	6	4	23	1.0	0.934	0.9329407438166067	-0.08220327127732857
5b8sbhwigddofjapft20c4tv	7	5	14	0.0	0.54875	0.45472411900565046	-1.019373150977959
5b8sbhwigddofjapft20c4tv	8	5	26	1.0	0.67275	0.6848665434183056	-0.4364097583958187
5d6jhia7y3nyo741tjb9vlsk	1	2	19	1.0	0.75675	0.7560005197775415	-0.31516897192069815
5d6jhia7y3nyo741tjb9vlsk	2	2	20	1.0	0.77575	0.7722470585033238	-0.30630534893451283
5d6jhia7y3nyo741tjb9vlsk	3	3	15	0.0	0.52875	0.4776737634912845	-0.8411191961027846
5d6jhia7y3nyo741tjb9vlsk	4	3	10	0.0	0.59975	0.39455772188866123	-1.201773220461706
5d6jhia7y3nyo741tjb9vlsk	5	4	12	0.0	0.41225	0.5807082942992278	-0.5899183303547089
5d6jhia7y3nyo741tjb9vlsk	6	4	23	1.0	0.85275	0.8586381159773983	-0.18471904062086375
5d6jhia7y3nyo741tjb9vlsk	7	5	14	1.0	0.424	0.42822607160133863	-0.9337883306661896
5d6jhia7y3nyo741tjb9vlsk	8	5	26	1.0	0.5585	0.5535456744665105	-0.6662282536005757
5rnza8evzb7drfy8beyioein	1	2	1	1.0	0.98275	0.9794227341324148	-0.022914469431961827
5rnza8evzb7drfy8beyioein	2	2	6	1.0	0.7295	0.7283932928618524	-0.35105188283973676
5rnza8evzb7drfy8beyioein	3	3	11	1.0	0.59675	0.5994907409882125	-0.5991528786742129
5rnza8evzb7drfy8beyioein	4	3	18	0.0	0.658	0.35140729103398793	-1.2279026732929201
5rnza8evzb7drfy8beyioein	5	4	16	1.0	0.87825	0.8853004884518043	-0.15577082878865378
5rnza8evzb7drfy8beyioein	6	4	17	0.0	0.53325	0.4698406296387557	-0.8396428615264752
5rnza8evzb7drfy8beyioein	7	5	14	0.0	0.398	0.5931871382525041	-0.5828411776341818
5rnza8evzb7drfy8beyioein	8	5	26	1.0	0.539	0.5353264512143039	-0.6964036550601028
5t74t9y7ibglnlge2f71vyk2	1	2	1	1.0	0.96275	0.9624551633990225	-0.04608950558147224
5t74t9y7ibglnlge2f71vyk2	2	2	6	1.0	0.6635	0.6641639930600336	-0.4537325713858558
5t74t9y7ibglnlge2f71vyk2	3	3	15	0.0	0.4525	0.5555853815108762	-0.6327321368726754
5t74t9y7ibglnlge2f71vyk2	4	3	10	0.0	0.50425	0.5007130721820497	-0.8074913299853843
5t74t9y7ibglnlge2f71vyk2	5	4	12	0.0	0.3565	0.6376852546635235	-0.47063982379838226
5t74t9y7ibglnlge2f71vyk2	6	4	23	1.0	0.76975	0.7641528383643627	-0.33830349352895106
5t74t9y7ibglnlge2f71vyk2	7	5	52	0.0	0.33975	0.6590433510442808	-0.43030628952761296
5t74t9y7ibglnlge2f71vyk2	8	5	59	0.0	0.283	0.7199190326763196	-0.33227271115694945
5xsiamm1cbvk38j2nigikj6i	1	2	19	1.0	0.746	0.7444370535817358	-0.33832335209952535
5xsiamm1cbvk38j2nigikj6i	2	2	20	0.0	0.744	0.25430606492153096	-1.9296154177094782
5xsiamm1cbvk38j2nigikj6i	3	3	11	1.0	0.59825	0.6036828004388373	-0.5997380238488431
5xsiamm1cbvk38j2nigikj6i	4	3	18	1.0	0.66125	0.662080685012046	-0.4608369979990292
5xsiamm1cbvk38j2nigikj6i	5	4	12	0.0	0.40275	0.5848579345158603	-0.5877199953195557
5xsiamm1cbvk38j2nigikj6i	6	4	23	1.0	0.8295	0.8419871104559936	-0.21723533262760775
5xsiamm1cbvk38j2nigikj6i	7	5	52	1.0	0.3995	0.38705450779285444	-1.007469686452994
5xsiamm1cbvk38j2nigikj6i	8	5	59	0.0	0.293	0.7013243589840368	-0.36239117368219215
6m37f5y8vcdo1b9utotly0oi	1	2	19	0.0	0.50375	0.49108309469398365	-0.8076256915979775
6m37f5y8vcdo1b9utotly0oi	2	2	20	1.0	0.481	0.4864012931356095	-0.8201357447838895
6m37f5y8vcdo1b9utotly0oi	3	3	11	0.0	0.36825	0.6289282698514849	-0.4970854613353723
6m37f5y8vcdo1b9utotly0oi	4	3	18	0.0	0.44875	0.5456474656507394	-0.6548522259660297
6m37f5y8vcdo1b9utotly0oi	5	4	12	1.0	0.30875	0.30710121585225403	-1.2079727419363664
