subject	trial	dimension	stimulus	accuracy	Y_hat	Y_pred	WAIC
5xsiamm1cbvk38j2nigikj6i	5	4	12	0.0	0.43825	0.5537674241936895	-0.6307256835783709
5xsiamm1cbvk38j2nigikj6i	6	4	23	1.0	0.85125	0.8526544627791804	-0.189383076453124
5xsiamm1cbvk38j2nigikj6i	7	5	52	1.0	0.4325	0.4264992709620534	-0.8979692551953422
5xsiamm1cbvk38j2nigikj6i	8	5	59	0.0	0.304	0.6912864884613538	-0.394078574300221
6m37f5y8vcdo1b9utotly0oi	1	2	19	0.0	0.498	0.49276330981003524	-0.8227913535562414
6m37f5y8vcdo1b9utotly0oi	2	2	20	1.0	0.4685	0.4712875253542319	-0.9887422062142306
6m37f5y8vcdo1b9utotly0oi	3	3	11	0.0	0.31275	0.6944118316691982	-0.4334722798193824
6m37f5y8vcdo1b9utotly0oi	4	3	18	0.0	0.4305	0.5702521586804308	-0.6360656940466409
6m37f5y8vcdo1b9utotly0oi	5	4	12	1.0	0.30375	0.3003031141846667	-1.3456550642861662
6m37f5y8vcdo1b9utotly0oi	6	4	23	0.0	0.528	0.4657228242963151	-1.061435046616362
6m37f5y8vcdo1b9utotly0oi	7	5	14	0.0	0.23075	0.773280976729407	-0.27906002672998276
6m37f5y8vcdo1b9utotly0oi	8	5	26	0.0	0.32375	0.6773529571943726	-0.4305148036876411
6paqscjsfw9kpdn1lzg32po9	1	2	1	1.0	0.982	0.981405744994719	-0.020996720053190945
6paqscjsfw9kpdn1lzg32po9	2	2	6	1.0	0.72675	0.7349365663419379	-0.3329191626984646
6paqscjsfw9kpdn1lzg32po9	3	3	15	1.0	0.53025	0.5276961435955629	-0.6945157057835816
6paqscjsfw9kpdn1lzg32po9	4	3	10	0.0	0.581	0.41486200997855627	-1.1255044511472796
6paqscjsfw9kpdn1lzg32po9	5	4	16	1.0	0.898	0.8903794895421708	-0.1512079800905485
6paqscjsfw9kpdn1lzg32po9	6	4	17	1.0	0.534	0.5531728264972994	-0.6340887319926601
6paqscjsfw9kpdn1lzg32po9	7	5	52	0.0	0.4125	0.5798466413899884	-0.5719839131131764
6paqscjsfw9kpdn1lzg32po9	8	5	59	0.0	0.3085	0.6984236840442762	-0.3841978593366362
6yenwqo50hemozitvo738ila	1	2	1	1.0	0.9655	0.9640284526736568	-0.044045579523476375
6yenwqo50hemozitvo738ila	2	2	6	0.0	0.674	0.3305531590393425	-1.27196617995599
6yenwqo50hemozitvo738ila	3	3	15	0.0	0.46825	0.5418289303529973	-0.6679591813948675
6yenwqo50hemozitvo738ila	4	3	10	1.0	0.513	0.5155328823158438	-0.8193865534748295
6yenwqo50hemozitvo738ila	5	4	16	1.0	0.82975	0.8266916613615893	-0.25015817519785827
6yenwqo50hemozitvo738ila	6	4	17	0.0	0.49275	0.507493003700834	-0.7311174442834896
6yenwqo50hemozitvo738ila	7	5	52	0.0	0.376	0.6250328611245785	-0.4935136214949683
6yenwqo50hemozitvo738ila	8	5	59	0.0	0.26475	0.7454753113129207	-0.3126926098863779
71e80tf73in7sys4sre6ajc3	1	2	1	1.0	0.994	0.9935630251881514	-0.006648203040050399
71e80tf73in7sys4sre6ajc3	2	2	6	1.0	0.8125	0.8193718494234141	-0.2132131604860227
71e80tf73in7sys4sre6ajc3	3	3	15	1.0	0.62375	0.6264475868808325	-0.5098759921179156
71e80tf73in7sys4sre6ajc3	4	3	10	1.0	0.749	0.7446252205677404	-0.34529966391644035
71e80tf73in7sys4sre6ajc3	5	4	16	1.0	0.96225	0.9579579878788893	-0.04844847693805136
71e80tf73in7sys4sre6ajc3	6	4	17	1.0	0.6385	0.6415884986118882	-0.47518534692497805
71e80tf73in7sys4sre6ajc3	7	5	14	1.0	0.5585	0.5570916566933334	-0.6737654553211719
71e80tf73in7sys4sre6ajc3	8	5	26	0.0	0.64825	0.33495868063304524	-1.3331276584644844
7c517gtaonz1mxh2s0meyyps	1	2	1	1.0	0.96125	0.9591146247705369	-0.049439214266205414
7c517gtaonz1mxh2s0meyyps	2	2	6	0.0	0.65225	0.34477378810043685	-1.2231383122696793
7c517gtaonz1mxh2s0meyyps	3	3	11	1.0	0.4935	0.4952271271122498	-0.8904759878793924
7c517gtaonz1mxh2s0meyyps	4	3	18	0.0	0.575	0.42928900865686487	-0.9814179914214722
7c517gtaonz1mxh2s0meyyps	5	4	16	1.0	0.80875	0.80741952768065	-0.2873198917965066
7c517gtaonz1mxh2s0meyyps	6	4	17	0.0	0.4715	0.5182978984968338	-0.7074466167626914
7c517gtaonz1mxh2s0meyyps	7	5	52	0.0	0.36	0.631300995561494	-0.48170207824253974
