"","mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat"
"beta[237]",0.957455679725422,0.00711050688633521,0.491194612792478,0.0269176285167989,0.634569671473106,0.939472928818842,1.27815745208331,1.9603472835068,4772.0618876829,1.00009367393578
"beta[238]",1.24430772981041,0.00575240157296861,0.410063396473056,0.471123594055776,0.972085378724363,1.22091737134526,1.50639123620692,2.08459253469173,5081.63674017235,0.99992999651185
"beta[239]",-2.18977843506066,0.00711501003604285,0.453807053591712,-3.13047630008817,-2.47326787088793,-2.16949868704052,-1.8739138476223,-1.36965882992808,4068.09840566839,1.00026277430557
"beta[240]",0.0526756160874483,0.00590076533965658,0.439429433557212,-0.844986395948995,-0.230427027741741,0.0706484660941013,0.351615313375766,0.860059112865939,5545.76673267939,0.999206089613261
"beta[241]",-0.297428925185501,0.0075976768881788,0.533878557288826,-1.35081969725034,-0.6467559678828,-0.287331785235058,0.0624493457503737,0.720123585191801,4937.6842682444,0.99945509737014
"beta[242]",-0.404650210667274,0.00675942008044938,0.457583800741244,-1.38275422228288,-0.688693668012775,-0.382194430417003,-0.0838529041610672,0.399463163865237,4582.71033832177,1.00072667829975
"beta[243]",1.59614654887463,0.00783173087549812,0.520829115950338,0.640587871419531,1.24555131331567,1.58970013962402,1.94013246442693,2.63171296190584,4422.57288382331,0.999524838303142
"beta[244]",-1.08171797840324,0.00770262712490281,0.574987057977494,-2.20783602554979,-1.4713646013844,-1.08007278552569,-0.684876819117728,0.0549894486341989,5572.35003854491,0.999391466286022
"beta[245]",-1.50416648075744,0.00621732402483317,0.433306350675099,-2.40008395403221,-1.78026268581041,-1.48758321461532,-1.20324526949907,-0.717109441394872,4857.16777247414,0.999492966378356
"beta[246]",1.17653614987501,0.00643152482335138,0.461614686571032,0.242949843226271,0.874955436878786,1.18161479435122,1.47936370015047,2.10532338543739,5151.47189839436,0.999194363259482
"beta[247]",-0.582168899590458,0.00670740134159002,0.45371574391469,-1.58470584344811,-0.860638243049244,-0.547361433699895,-0.268126150229893,0.216056586255947,4575.71653615902,1.00084670334852
"beta[248]",-1.29240149376941,0.0062087079746228,0.418286325626786,-2.13298956770671,-1.56638850901549,-1.28256432092642,-0.99789121507494,-0.506343945916059,4538.83993638093,0.999676520735597
"beta[249]",0.631682960193559,0.00554508551254389,0.41141731690349,-0.16097413045911,0.356245622146195,0.624057479642117,0.907679575552395,1.45025772528531,5504.88992456721,0.999232302657886
"beta[250]",0.405189941245038,0.00705725111206839,0.53796728850222,-0.690576526313789,0.0636221020781838,0.435490263573644,0.771407413379155,1.38296919642209,5810.86246045907,0.999774345925583
"beta[251]",0.77439706730941,0.00533992871938964,0.41205728545505,-0.052242850247184,0.514142333726451,0.773197908006254,1.04303967866227,1.62971380827589,5954.4859473076,0.999297901163292
