sub,age,gender,block,testform,Puzzle,distractor,Accuracy,RT
686995,26,Female,2,2,69_clockwork3_single__122212121022_shape_set_17_T.jpeg,paired,0,713
686995,26,Female,2,2,45_grid_triple__101211020100111110200000010000000100121002000200_shape_set_17_T.jpeg,minimal,0,1959
686995,26,Female,2,2,65_double__0200020012221222_shape_set_4_T.jpeg,minimal,1,1120
686995,26,Female,2,2,66_grid_triple__110211101201112000000200020012110100000001001012_shape_set_17_T.jpeg,paired,0,771
686995,26,Female,2,2,53_flower_double__1001010002001212112201000200020010200100_shape_set_4_T.jpeg,minimal,1,719
686995,26,Female,2,2,42_double__1111101211021120_shape_set_17_T.jpeg,paired,0,1340
686995,26,Female,2,2,80_triple__010002001121020012221221_shape_set_4_T.jpeg,minimal,0,412
686995,26,Female,2,2,44_triple__120211201211000011101212_shape_set_4_T.jpeg,paired,1,590
686995,26,Female,2,2,43_flower_double__0000010000000200020001000100000012200000_shape_set_20_T.jpeg,minimal,0,566
686995,26,Female,2,2,49_clockwork3_single__010011221121_shape_set_20_T.jpeg,minimal,0,857
686995,26,Female,2,2,51_double__0100102201001012_shape_set_17_T.jpeg,paired,0,676
686995,26,Female,2,2,41_single__112012110000_shape_set_4_T.jpeg,paired,0,3472
686995,26,Female,2,2,50_clockwork3_single__122200001022_shape_set_4_T.jpeg,minimal,0,1039
686995,26,Female,2,2,40_grid_double__02000000010011100200020010211111_shape_set_20_T.jpeg,minimal,0,626
686999,24,Female,1,3,12_double__1212102211111221_shape_set_4_T.jpeg,paired,0,9324
686999,24,Female,1,3,34_flower_single__11210200122211220100_shape_set_17_T.jpeg,paired,0,5209
686999,24,Female,1,3,33_single__000010221212_shape_set_4_T.jpeg,paired,0,5670
686999,24,Female,1,3,20_double__1221010010220000_shape_set_20_T.jpeg,paired,0,12873
686999,24,Female,1,3,13_flower_single__01001221122102001122_shape_set_17_T.jpeg,minimal,0,13773
686999,24,Female,1,3,32_flower_single__11110100010002000000_shape_set_20_T.jpeg,minimal,0,7268
686999,24,Female,1,3,21_triple__100111201112121010221202_shape_set_4_T.jpeg,minimal,1,21004
686999,24,Female,1,3,23_grid_single__1110120212111121_shape_set_20_T.jpeg,minimal,1,8540
