subject,trial,test_form,stimulus,correct,choice,accuracy,rt,all_loaded,minimum_resolution
1jkg3rwcf7jcysg0v2f7z9tv,7,0,a49,6,2.0,0.0,7.71,1,1
1jkg3rwcf7jcysg0v2f7z9tv,8,0,a53,0,0.0,1.0,9.362,1,1
1jkg3rwcf7jcysg0v2f7z9tv,9,0,a55,1,2.0,0.0,13.263,1,1
1jswiz9nlynbeqdbskqifs18,1,0,a11,4,4.0,1.0,7.22,1,1
1jswiz9nlynbeqdbskqifs18,2,0,a24,4,5.0,0.0,12.594,1,1
1jswiz9nlynbeqdbskqifs18,3,0,a28,7,7.0,1.0,11.045,1,1
1jswiz9nlynbeqdbskqifs18,4,0,a36,1,2.0,0.0,21.102,1,1
1jswiz9nlynbeqdbskqifs18,5,0,a43,4,4.0,1.0,18.029,1,1
1jswiz9nlynbeqdbskqifs18,6,0,a48,5,0.0,0.0,22.782,1,1
1jswiz9nlynbeqdbskqifs18,7,0,a49,6,2.0,0.0,8.382,1,1
1jswiz9nlynbeqdbskqifs18,8,0,a53,0,0.0,1.0,8.116,1,1
1jswiz9nlynbeqdbskqifs18,9,0,a55,1,2.0,0.0,16.638,1,1
1jvednu5151ueg4z8y95ks6i,1,0,a11,4,2.0,0.0,18.402,1,1
1jvednu5151ueg4z8y95ks6i,2,0,a24,4,5.0,0.0,10.471,1,1
1jvednu5151ueg4z8y95ks6i,3,0,a28,7,2.0,0.0,14.452,1,1
1jvednu5151ueg4z8y95ks6i,4,0,a36,1,4.0,0.0,13.914,1,1
1jvednu5151ueg4z8y95ks6i,5,0,a43,4,7.0,0.0,3.342,1,1
1jvednu5151ueg4z8y95ks6i,6,0,a48,5,6.0,0.0,14.332,1,1
1jvednu5151ueg4z8y95ks6i,7,0,a49,6,4.0,0.0,18.796,1,1
1jvednu5151ueg4z8y95ks6i,8,0,a53,0,6.0,0.0,12.999,1,1
1jvednu5151ueg4z8y95ks6i,9,0,a55,1,5.0,0.0,12.996,1,1
1l6wjwvvz12cqdh8jegcdfrk,1,0,a11,4,4.0,1.0,17.452,1,1
1l6wjwvvz12cqdh8jegcdfrk,2,0,a24,4,4.0,1.0,13.112,1,1
1l6wjwvvz12cqdh8jegcdfrk,3,0,a28,7,3.0,0.0,26.719,1,1
1l6wjwvvz12cqdh8jegcdfrk,4,0,a36,1,2.0,0.0,28.796,1,1
1l6wjwvvz12cqdh8jegcdfrk,5,0,a43,4,4.0,1.0,29.049,1,1
1l6wjwvvz12cqdh8jegcdfrk,6,0,a48,5,6.0,0.0,28.564,1,1
1l6wjwvvz12cqdh8jegcdfrk,7,0,a49,6,6.0,1.0,18.689,1,1
1l6wjwvvz12cqdh8jegcdfrk,8,0,a53,0,0.0,1.0,20.133,1,1
1l6wjwvvz12cqdh8jegcdfrk,9,0,a55,1,0.0,0.0,28.784,1,1
1l7xto0a6bb6xccbsvk2khms,1,0,a11,4,4.0,1.0,9.637,1,1
1l7xto0a6bb6xccbsvk2khms,2,0,a24,4,4.0,1.0,13.176,1,1
1l7xto0a6bb6xccbsvk2khms,3,0,a28,7,7.0,1.0,11.316,1,1
1l7xto0a6bb6xccbsvk2khms,4,0,a36,1,1.0,1.0,11.412,1,1
1l7xto0a6bb6xccbsvk2khms,5,0,a43,4,3.0,0.0,16.995,1,1
1l7xto0a6bb6xccbsvk2khms,6,0,a48,5,6.0,0.0,6.794,1,1
1l7xto0a6bb6xccbsvk2khms,7,0,a49,6,6.0,1.0,8.109,1,1
1l7xto0a6bb6xccbsvk2khms,8,0,a53,0,0.0,1.0,17.079,1,1
1l7xto0a6bb6xccbsvk2khms,9,0,a55,1,2.0,0.0,7.204,1,1
1nx2x9q18xxtv71blp7aated,1,0,a11,4,4.0,1.0,14.486,1,1
1nx2x9q18xxtv71blp7aated,2,0,a24,4,4.0,1.0,16.299,1,1
1nx2x9q18xxtv71blp7aated,3,0,a28,7,7.0,1.0,19.533,1,1
1nx2x9q18xxtv71blp7aated,4,0,a36,1,3.0,0.0,12.305,1,1
1nx2x9q18xxtv71blp7aated,5,0,a43,4,4.0,1.0,13.481,1,1
1nx2x9q18xxtv71blp7aated,6,0,a48,5,6.0,0.0,23.98,1,1
1nx2x9q18xxtv71blp7aated,7,0,a49,6,6.0,1.0,3.868,1,1
1nx2x9q18xxtv71blp7aated,8,0,a53,0,0.0,1.0,8.829,1,1
1nx2x9q18xxtv71blp7aated,9,0,a55,1,0.0,0.0,21.687,1,1
1qmmrnwno1bmdgx8gq83nk8d,1,0,a11,4,4.0,1.0,6.152,1,1
1qmmrnwno1bmdgx8gq83nk8d,2,0,a24,4,4.0,1.0,10.472,1,1
1qmmrnwno1bmdgx8gq83nk8d,3,0,a28,7,7.0,1.0,11.932,1,1
1qmmrnwno1bmdgx8gq83nk8d,4,0,a36,1,1.0,1.0,25.292,1,1
1qmmrnwno1bmdgx8gq83nk8d,5,0,a43,4,7.0,0.0,12.956,1,1
1qmmrnwno1bmdgx8gq83nk8d,6,0,a48,5,0.0,0.0,8.948,1,1
1qmmrnwno1bmdgx8gq83nk8d,7,0,a49,6,6.0,1.0,12.724,1,1
1qmmrnwno1bmdgx8gq83nk8d,8,0,a53,0,3.0,0.0,7.979,1,1
1qmmrnwno1bmdgx8gq83nk8d,9,0,a55,1,6.0,0.0,8.14,1,1
1w1qpgfcqf66b3m2typs0yhk,1,0,a11,4,2.0,0.0,9.533,1,1
1w1qpgfcqf66b3m2typs0yhk,2,0,a24,4,1.0,0.0,15.055,1,1
1w1qpgfcqf66b3m2typs0yhk,3,0,a28,7,7.0,1.0,10.363,1,1
1w1qpgfcqf66b3m2typs0yhk,4,0,a36,1,0.0,0.0,16.399,1,1
1w1qpgfcqf66b3m2typs0yhk,5,0,a43,4,4.0,1.0,18.093,1,1
1w1qpgfcqf66b3m2typs0yhk,6,0,a48,5,3.0,0.0,15.724,1,1
1w1qpgfcqf66b3m2typs0yhk,7,0,a49,6,6.0,1.0,16.294,1,1
1w1qpgfcqf66b3m2typs0yhk,8,0,a53,0,3.0,0.0,8.618,1,1
1w1qpgfcqf66b3m2typs0yhk,9,0,a55,1,5.0,0.0,10.504,1,1
1w2vilb174glntt8zdn5z5d5,1,0,a11,4,1.0,0.0,6.31,1,1
1w2vilb174glntt8zdn5z5d5,2,0,a24,4,4.0,1.0,8.139,1,1
1w2vilb174glntt8zdn5z5d5,3,0,a28,7,7.0,1.0,8.842,1,1
1w2vilb174glntt8zdn5z5d5,4,0,a36,1,1.0,1.0,6.33,1,1
1w2vilb174glntt8zdn5z5d5,5,0,a43,4,6.0,0.0,9.907,1,1
1w2vilb174glntt8zdn5z5d5,6,0,a48,5,5.0,1.0,9.285,1,1
1w2vilb174glntt8zdn5z5d5,7,0,a49,6,6.0,1.0,5.614,1,1
1w2vilb174glntt8zdn5z5d5,8,0,a53,0,3.0,0.0,6.386,1,1
1w2vilb174glntt8zdn5z5d5,9,0,a55,1,6.0,0.0,5.661,1,1
1w9jafc0r0qvfyr9ahl2wmmt,1,0,a11,4,4.0,1.0,26.852,1,1
1w9jafc0r0qvfyr9ahl2wmmt,2,0,a24,4,4.0,1.0,26.88,1,1
1w9jafc0r0qvfyr9ahl2wmmt,3,0,a28,7,7.0,1.0,20.095,1,1
1w9jafc0r0qvfyr9ahl2wmmt,4,0,a36,1,6.0,0.0,29.673,1,1
1w9jafc0r0qvfyr9ahl2wmmt,5,0,a43,4,4.0,1.0,14.65,1,1
1w9jafc0r0qvfyr9ahl2wmmt,6,0,a48,5,3.0,0.0,29.911,1,1
1w9jafc0r0qvfyr9ahl2wmmt,7,0,a49,6,6.0,1.0,18.488,1,1
1w9jafc0r0qvfyr9ahl2wmmt,8,0,a53,0,0.0,1.0,13.965,1,1
1w9jafc0r0qvfyr9ahl2wmmt,9,0,a55,1,0.0,0.0,20.091,1,1
1z9tl0tgp1u1hd7qxdu4ugfw,1,0,a11,4,4.0,1.0,8.455,1,1
1z9tl0tgp1u1hd7qxdu4ugfw,2,0,a24,4,5.0,0.0,28.986,1,1
1z9tl0tgp1u1hd7qxdu4ugfw,3,0,a28,7,7.0,1.0,6.852,1,1
1z9tl0tgp1u1hd7qxdu4ugfw,4,0,a36,1,1.0,1.0,20.625,1,1
1z9tl0tgp1u1hd7qxdu4ugfw,5,0,a43,4,4.0,1.0,18.205,1,1
1z9tl0tgp1u1hd7qxdu4ugfw,6,0,a48,5,6.0,0.0,19.848,1,1
1z9tl0tgp1u1hd7qxdu4ugfw,7,0,a49,6,6.0,1.0,7.133,1,1
1z9tl0tgp1u1hd7qxdu4ugfw,8,0,a53,0,0.0,1.0,7.938,1,1
1z9tl0tgp1u1hd7qxdu4ugfw,9,0,a55,1,1.0,1.0,15.528,1,1
24tckozyhy6n0wrasshxbgfq,1,0,a11,4,0.0,0.0,9.878,1,1
24tckozyhy6n0wrasshxbgfq,2,0,a24,4,0.0,0.0,16.917,1,1
24tckozyhy6n0wrasshxbgfq,3,0,a28,7,7.0,1.0,9.651,1,1
24tckozyhy6n0wrasshxbgfq,4,0,a36,1,2.0,0.0,7.651,1,1
24tckozyhy6n0wrasshxbgfq,5,0,a43,4,4.0,1.0,11.675,1,1
24tckozyhy6n0wrasshxbgfq,6,0,a48,5,6.0,0.0,11.572,1,1
24tckozyhy6n0wrasshxbgfq,7,0,a49,6,6.0,1.0,11.933,1,1
24tckozyhy6n0wrasshxbgfq,8,0,a53,0,0.0,1.0,16.332,1,1
24tckozyhy6n0wrasshxbgfq,9,0,a55,1,2.0,0.0,22.229,1,1
28lrxegugl5cjmbl038832yt,1,0,a11,4,4.0,1.0,8.428,1,1
28lrxegugl5cjmbl038832yt,2,0,a24,4,5.0,0.0,14.966,1,1
28lrxegugl5cjmbl038832yt,3,0,a28,7,7.0,1.0,4.588,1,1
28lrxegugl5cjmbl038832yt,4,0,a36,1,4.0,0.0,20.36,1,1
28lrxegugl5cjmbl038832yt,5,0,a43,4,0.0,0.0,13.934,1,1
28lrxegugl5cjmbl038832yt,6,0,a48,5,2.0,0.0,9.592,1,1
28lrxegugl5cjmbl038832yt,7,0,a49,6,6.0,1.0,8.146,1,1
28lrxegugl5cjmbl038832yt,8,0,a53,0,4.0,0.0,11.156,1,1
