subject	trial	dimension	item	accuracy	rt	w_hat	Y_hat	Y_pred	WAIC
5b8sbhwigddofjapft20c4tv	3	3	11	1.0	21.005	0.14924989247666343	0.6955	0.7054818816659729	-0.3787476197707596
5b8sbhwigddofjapft20c4tv	4	3	18	1.0	12.119	0.0549068250468415	0.82325	0.8276108005648994	-0.2007657126062636
5b8sbhwigddofjapft20c4tv	5	4	12	1.0	11.542	0.053174907553858224	0.571	0.5802114974903185	-0.6309082576208165
5b8sbhwigddofjapft20c4tv	6	4	23	1.0	11.016	0.052009152709018715	0.893	0.9006305713995585	-0.10856302719480102
5b8sbhwigddofjapft20c4tv	7	5	14	0.0	16.737	0.0857357068513995	0.56975	0.426317454013001	-1.0380535112557356
5b8sbhwigddofjapft20c4tv	8	5	26	1.0	22.926	0.1930968892779333	0.61825	0.619311865690642	-0.5385931389257363
5d6jhia7y3nyo741tjb9vlsk	1	2	19	1.0	10.09	0.05100594778513806	0.80575	0.8141401535301146	-0.22355996984190604
5d6jhia7y3nyo741tjb9vlsk	2	2	20	1.0	12.977	0.05832307737841358	0.79425	0.795597666721354	-0.2517414976413326
5d6jhia7y3nyo741tjb9vlsk	3	3	15	0.0	15.477	0.07411245861073348	0.57225	0.42345202737371024	-1.0120944704874368
5d6jhia7y3nyo741tjb9vlsk	4	3	10	0.0	21.544	0.16049271153582642	0.60925	0.39230038055273325	-1.0496360980160329
5d6jhia7y3nyo741tjb9vlsk	5	4	12	0.0	5.543	0.09398733709096087	0.442	0.5468212122901548	-0.7006150798353845
5d6jhia7y3nyo741tjb9vlsk	6	4	23	1.0	3.598	0.28772565601850614	0.705	0.7086693024218401	-0.3635964965162327
5d6jhia7y3nyo741tjb9vlsk	7	5	14	1.0	5.349	0.10131683638728531	0.452	0.4575615043492492	-0.9463753945156672
5d6jhia7y3nyo741tjb9vlsk	8	5	26	1.0	4.188	0.18676518263114367	0.52275	0.5227118266107402	-0.7602746460481065
5rnza8evzb7drfy8beyioein	2	2	6	1.0	14.284	0.0654550264524811	0.757	0.7559569318003566	-0.30767017842148725
5rnza8evzb7drfy8beyioein	3	3	11	1.0	11.892	0.05417032826871299	0.64725	0.6434639137169316	-0.5284739178787115
5rnza8evzb7drfy8beyioein	4	3	18	0.0	20.949	0.14812792390458104	0.69925	0.30186319447822724	-1.3320979380786029
5rnza8evzb7drfy8beyioein	5	4	16	1.0	7.806	0.056717348377075975	0.885	0.8927152803821992	-0.11839259207850467
5rnza8evzb7drfy8beyioein	6	4	17	0.0	30.0	0.4289009020905968	0.461	0.5430376808431123	-0.6621685183092789
5rnza8evzb7drfy8beyioein	7	5	14	0.0	14.151	0.06462031555063498	0.4425	0.5553255806170048	-0.7319375201236573
5rnza8evzb7drfy8beyioein	8	5	26	1.0	23.805	0.21670257063771003	0.48825	0.4958967525304531	-0.8281435829836731
5t74t9y7ibglnlge2f71vyk2	2	2	6	1.0	3.212	0.39463883040775677	0.536	0.5365806814432508	-0.6677843717930164
5t74t9y7ibglnlge2f71vyk2	3	3	15	0.0	3.237	0.38652968827434553	0.40675	0.599674163843372	-0.5538279599856636
5t74t9y7ibglnlge2f71vyk2	4	3	10	0.0	1.857	0.9117094518414831	0.27625	0.7220356347830063	-0.3280445206981023
5t74t9y7ibglnlge2f71vyk2	5	4	12	0.0	2.876	0.5191197029066262	0.3105	0.6925762845934064	-0.3836646121571212
5t74t9y7ibglnlge2f71vyk2	6	4	23	1.0	11.077	0.05212338638192977	0.815	0.8114837860691362	-0.23824064418677252
5t74t9y7ibglnlge2f71vyk2	7	5	52	0.0	8.279	0.054196060604718765	0.31975	0.6736915360307744	-0.45921237952274685
5t74t9y7ibglnlge2f71vyk2	8	5	59	0.0	3.802	0.2456148516387993	0.222	0.7841748444333349	-0.2628326576948898
5xsiamm1cbvk38j2nigikj6i	1	2	19	1.0	6.966	0.06414149702428984	0.804	0.8076662683783152	-0.22775479458659487
5xsiamm1cbvk38j2nigikj6i	2	2	20	0.0	5.459	0.09701422453791855	0.779	0.22836598022350546	-1.6647712715657415
5xsiamm1cbvk38j2nigikj6i	3	3	11	1.0	16.093	0.07945695446127422	0.64375	0.6482832222019242	-0.49988571292267986
5xsiamm1cbvk38j2nigikj6i	4	3	18	1.0	5.309	0.1029845609601521	0.72575	0.7379599596457488	-0.32659355833331805
5xsiamm1cbvk38j2nigikj6i	5	4	12	0.0	6.729	0.06719009943742177	0.457	0.5390551562569633	-0.7202650986421588
5xsiamm1cbvk38j2nigikj6i	6	4	23	1.0	6.322	0.07382459907408909	0.84975	0.8489886441915158	-0.1720679667033089
5xsiamm1cbvk38j2nigikj6i	7	5	52	1.0	4.948	0.12102372349670189	0.40925	0.40829043817227817	-1.0337423100963767
5xsiamm1cbvk38j2nigikj6i	8	5	59	0.0	7.205	0.061551239648124347	0.28275	0.7207270797846953	-0.3765966434705196
6m37f5y8vcdo1b9utotly0oi	1	2	19	0.0	5.613	0.09162152954062336	0.639	0.36311871532333895	-1.1972961565740023
6m37f5y8vcdo1b9utotly0oi	2	2	20	1.0	4.121	0.19535257010187895	0.55975	0.5646086581150079	-0.6691061048657998
