"","mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat"
"alpha[24]",-1.31401308816092,0.0114340718984708,0.494645515389952,-2.50267545091733,-1.56221427868195,-1.24059830624812,-0.976066409246433,-0.583048144609522,1871.4848441895,1.00362939601693
"alpha[25]",0.173453172927686,0.0056886941766653,0.269421590611841,-0.330128903714638,-0.00272329322010292,0.163498478766328,0.33316603319629,0.738116659629713,2243.05342649507,0.999777657794088
"alpha[26]",-0.342842946429842,0.00586129743485243,0.255457701745398,-0.875738389713449,-0.504620164758435,-0.329408251008567,-0.17205324523108,0.134079588148609,1899.54891039516,1.00236626282879
"alpha[27]",-0.174578452657257,0.0183871368038216,0.661595148081391,-1.46819807870992,-0.524759698203216,-0.160014905312255,0.1829795928223,1.183578657284,1294.66202220499,1.00350757867319
"alpha[28]",1.84337901906243,0.0204156590119174,0.834681565524499,0.693999155967417,1.2833104266549,1.68017441017229,2.22294059099008,3.97220029749405,1671.53254613132,1.00158812003898
"alpha[29]",0.622072021841685,0.0135779502457949,0.430668846990363,0.0102112860448681,0.357003820764846,0.567049946428491,0.799724558342,1.59264821301187,1006.04750736952,1.00451430926528
"alpha[30]",2.60910506308898,0.0232212716913168,1.14187917077162,0.929477038383141,1.78232957462026,2.41212217097613,3.25759655936099,5.36475443352755,2418.06684539426,1.00068496070253
"alpha[31]",0.539384646868428,0.0100252246111488,0.435969321835103,-0.13010835585395,0.267691587659955,0.485023104899725,0.729690041759785,1.57382614470291,1891.13980958522,0.999969066243045
"alpha[32]",-1.61642851478861,0.0111228814735953,0.394079345427164,-2.58239453701956,-1.79350264840269,-1.55857076126203,-1.36396747698158,-1.02565565853884,1255.25721851097,1.00085816794804
"alpha[33]",0.00629727493497347,0.015946231642044,0.63551243048421,-1.02255763866059,-0.329459942253384,-0.049415820258552,0.250373167593784,1.49857625163037,1588.2979020211,1.00199886883464
"alpha[34]",-4.46313030019927,0.0234842558800973,1.24063628693632,-7.3704441479791,-5.17979442430146,-4.27286844061937,-3.52875992329022,-2.61770743833307,2790.84265216801,1.00042954717802
"alpha[35]",0.379941017875151,0.0127655490514473,0.554256230497072,-0.435344047634265,0.0369032736748213,0.293438961810503,0.618935378327866,1.76882780826503,1885.13375597437,1.00119145992832
"alpha[36]",-2.10079640130092,0.0180608462304114,0.808928580242624,-4.18544756972335,-2.44707039890113,-1.93602248848957,-1.55811894334667,-0.993619720738954,2006.06115933059,1.0001460211665
"alpha[37]",0.852781513556355,0.0219328053972872,0.663307587168141,0.0444839299005131,0.440465806295375,0.703956113145347,1.07044549927069,2.61193921196202,914.621822670959,1.00542463964691
"alpha[38]",0.466780140220934,0.0221634031893572,0.813359960859949,-0.605855098163135,-0.0399881653778167,0.29397880910826,0.77790501485785,2.69608165544482,1346.76767876948,1.00120629045282
"alpha[39]",2.91345623695742,0.0280890908783978,1.3650652986824,0.997090890584123,1.88177725026934,2.68184736767066,3.69489976720167,6.16963262002794,2361.73674599056,1.00000128934287
"alpha[40]",-0.195017172627462,0.0187569591656069,0.61217595485408,-1.25598610901707,-0.506119580299079,-0.247499591494822,0.0432405207274333,1.17926802231533,1065.19144242458,1.00208429398924
"alpha[41]",1.372585778174,0.0254082053752781,1.1696255237015,-0.271693996830867,0.571834761918564,1.14034210674184,1.93194713701205,4.32516265385485,2119.07189501774,1.00016046819817
"alpha[42]",1.00655071869768,0.0281496586923872,0.981941651849206,-0.0607983637512887,0.392429122333176,0.746709384646948,1.29158461384073,3.77643871923702,1216.816520703,1.00186945187135
"alpha[43]",-0.109741665127978,0.0204012942543066,0.609793915890753,-0.862912418076785,-0.466031368947935,-0.241643788567991,0.0733989798537919,1.52310796421267,893.409845587254,1.0039062633625
"alpha[44]",-1.63254535795356,0.0206654513651906,0.915163644559046,-3.72301915423963,-2.073894347443,-1.5256645639421,-1.0924561417166,-0.102682359778129,1961.13607051393,1.00202987719707
