subject,trial,item,dimension,test_form,shape_set,distractor,choice,accuracy,y_hat,y_pred,pwaic_u,pwaic_c,louo,loco,k_u,k_c
iqzqc9sjiflfd8lbbtyq6hsu,3,71,2,1,1,1,0.0,1.0,0.8629,0.8673948666408096,0.00580218984539772,0.1541653137394029,-0.14807297525476315,-10.1762956600658,0.010449452895282875,0.12163102822188698
iqzqc9sjiflfd8lbbtyq6hsu,4,50,2,2,3,0,0.0,1.0,0.8477,0.8474083628341011,0.00723885466159354,0.1541653137394029,-0.1728218174473355,-10.1762956600658,-0.08779107961707501,0.12163102822188698
iqzqc9sjiflfd8lbbtyq6hsu,5,27,3,1,2,1,0.0,1.0,0.7879,0.7875518100468294,0.013529759233075641,0.1541653137394029,-0.25238817508828326,-10.1762956600658,0.006898156073476566,0.12163102822188698
iqzqc9sjiflfd8lbbtyq6hsu,6,18,3,2,1,0,1.0,0.0,0.5847,0.41519320368463924,0.0991384461720545,0.1541653137394029,-0.9784090508243448,-10.1762956600658,-0.03258090817603238,0.12163102822188698
iqzqc9sjiflfd8lbbtyq6hsu,7,17,4,1,1,1,0.0,1.0,0.7587,0.75622315234683,0.017893094694173366,0.1541653137394029,-0.2973597686751468,-10.1762956600658,0.0344146268705298,0.12163102822188698
iqzqc9sjiflfd8lbbtyq6hsu,8,69,3,2,1,0,0.0,1.0,0.8289,0.8336440583538509,0.00860002499847331,0.1541653137394029,-0.19056135268725427,-10.1762956600658,-0.02723059219262916,0.12163102822188698
iqzqc9sjiflfd8lbbtyq6hsu,9,53,4,2,3,0,3.0,0.0,0.3985,0.5952336715084823,0.050022863216747745,0.1541653137394029,-0.5690596179593683,-10.1762956600658,0.0937630836523889,0.12163102822188698
iqzqc9sjiflfd8lbbtyq6hsu,10,79,4,1,3,1,0.0,1.0,0.6996,0.6989288925731763,0.026985219974543787,0.1541653137394029,-0.38528005976015045,-10.1762956600658,0.09260236096167873,0.12163102822188698
iqzqc9sjiflfd8lbbtyq6hsu,11,63,5,1,2,1,0.0,1.0,0.5802,0.5769816221130138,0.051758934609704786,0.1541653137394029,-0.6018558549810695,-10.1762956600658,0.058430999399474576,0.12163102822188698
iqzqc9sjiflfd8lbbtyq6hsu,12,52,5,2,2,0,0.0,1.0,0.5163,0.5192475468679483,0.06665350819575191,0.1541653137394029,-0.7222580448247022,-10.1762956600658,0.035366470722576364,0.12163102822188698
iqzqc9sjiflfd8lbbtyq6hsu,13,36,6,2,1,0,0.0,1.0,0.556,0.5622205560495303,0.05536566792579083,0.1541653137394029,-0.6313960314600333,-10.1762956600658,0.11709234446719606,0.12163102822188698
iqzqc9sjiflfd8lbbtyq6hsu,14,64,6,1,3,1,3.0,0.0,0.6973,0.3049117396794421,0.14125766684504706,0.1541653137394029,-1.3291382874851259,-10.1762956600658,-0.05573337009363635,0.12163102822188698
iqzqc9sjiflfd8lbbtyq6hsu,15,78,7,1,2,1,0.0,1.0,0.623,0.6186610481422302,0.04167351274791816,0.1541653137394029,-0.5220109817897534,-10.1762956600658,-0.013790730981944506,0.12163102822188698
iqzqc9sjiflfd8lbbtyq6hsu,16,21,7,2,1,0,3.0,0.0,0.5463,0.44452237011042606,0.09074909179119264,0.1541653137394029,-0.9018027869519187,-10.1762956600658,0.04287072005198476,0.12163102822188698
irnft15fp2p3fhf7d5f3agze,1,19,2,2,2,1,0.0,1.0,0.7916,0.7843140270699107,0.015408266796137736,0.2942346658100847,-0.25840266437114323,-14.928394211944713,0.09806121273226781,0.27152105497555357
irnft15fp2p3fhf7d5f3agze,2,39,2,1,2,0,0.0,1.0,0.5257,0.5310058672055263,0.06577657862304871,0.2942346658100847,-0.6990731165677158,-14.928394211944713,0.03973848051082188,0.27152105497555357
irnft15fp2p3fhf7d5f3agze,3,51,2,2,1,1,1.0,0.0,0.7976,0.20168412157317137,0.1979045701198239,0.2942346658100847,-1.799563706993748,-14.928394211944713,0.12760192492527772,0.27152105497555357
irnft15fp2p3fhf7d5f3agze,4,10,3,1,3,0,1.0,0.0,0.625,0.373595757918903,0.11631810951618368,0.2942346658100847,-1.1014006091631146,-14.928394211944713,0.14254028693594178,0.27152105497555357
irnft15fp2p3fhf7d5f3agze,5,27,3,1,2,0,1.0,0.0,0.4331,0.5664189068152173,0.0566638271277869,0.2942346658100847,-0.6254312288905837,-14.928394211944713,0.18196849337633836,0.27152105497555357
