k1,k2,obs,pred,pval
29,10,-0.031873,0.012395,0.1954
29,11,0.005974,0.011942,0.1231
29,12,0.004428,0.015947,0.1366
29,13,0.04272,0.010599,0.0072
29,15,-0.007694,0.015079,0.1752
29,16,-0.001318,0.010216,0.147
29,17,0.025771,0.010264,0.0465
29,18,0.028194,0.012629,0.0481
29,19,0.025606,0.011243,0.0464
29,20,-0.013822,0.016177,0.1827
29,21,-0.013435,0.015818,0.1841
29,22,0.033841,0.011366,0.0303
29,23,0.009168,0.011674,0.108
29,24,0.023235,0.016146,0.0737
29,25,0.005544,0.014527,0.1354
29,26,0.018679,0.008173,0.0584
29,27,0.003981,0.011877,0.1285
30,0,-0.013394,0.008571,0.1697
30,1,0.022305,0.007937,0.0447
30,2,0.029493,0.011377,0.0435
30,3,0.035734,0.012892,0.0329
30,4,0.034601,0.010854,0.0261
30,5,0.038701,0.012329,0.0264
30,6,0.027567,0.010731,0.0382
30,7,0.018117,0.008665,0.0658
30,8,0.037616,0.012506,0.0221
30,9,0.011904,0.010756,0.0955
30,10,0.019844,0.010498,0.0654
30,11,-0.035951,0.008981,0.1977
30,12,0.019146,0.01536,0.085
30,13,-0.025493,0.008222,0.1933
30,14,0.028569,0.007842,0.0204
30,15,0.034941,0.01446,0.0383
30,16,0.006453,0.006749,0.1041
30,17,0.032258,0.010597,0.0395
30,18,0.02563,0.01172,0.0533
30,19,0.010471,0.008291,0.0914
30,20,0.044514,0.014271,0.0171
30,21,-0.034496,0.012028,0.1967
30,22,0.033337,0.009377,0.0297
30,23,0.023127,0.012281,0.0646
30,24,-0.00323,0.014392,0.1572
30,26,0.03678,0.009733,0.0243
30,27,0.019473,0.009671,0.0664
30,28,0.028513,0.010493,0.0398
30,29,0.042558,0.013281,0.019
31,0,0.041479,0.012205,0.0206
31,1,0.03123,0.012796,0.0385
31,2,-0.006334,0.013117,0.1669
31,3,0.038149,0.01089,0.0184
31,4,-0.028315,0.01279,0.1925
31,5,-0.001066,0.011599,0.1468
31,6,0.009117,0.01578,0.125
31,7,-2.8e-05,0.012975,0.1432
31,8,-0.008357,0.014639,0.1736
31,9,0.019226,0.012174,0.0736
31,10,-0.02791,0.014479,0.1964
31,11,0.008953,0.013811,0.1183
31,12,0.038406,0.016129,0.0286
31,13,-0.019286,0.013697,0.1888
31,14,0.019053,0.013316,0.0785
31,15,0.009515,0.014815,0.1178
31,16,-0.014616,0.012769,0.1781
31,17,-0.015282,0.009532,0.1755
31,18,0.015724,0.013325,0.0896
31,19,0.014811,0.011763,0.0884
31,20,0.003518,0.017563,0.1483
